Month,Year,Bays,Efficiency,Tech Count,Detail Workers,Detail Efficiency,Service Revenue,Parts Revenue,Shop Charge,Warranty Revenue,Oil Disposal,Disposal Fees,Battery Disposal,Used Car Sales,Detail Revenue,Total Revenue,Tech Salaries,Detail Salaries,Advisor Salary,Manager Salary,Total Payroll,Parts Cost,Workers Comp,Social Security,Medicare,FUTA,Total Payroll Taxes,Advertising,Shop Key,AAA Signup,Fuel Card,Utilities,Rent,Waste Oil Filters,Waste Coolant Disposal,Oil Costs,Detail Supplies,Shop Supplies,Surety Bond,Liability,Payment Processing,Detail Commission,Total Expenses,Net Income
1,1,2,40.0,2,1,40.0,16800,11760,1176,0,120,160,660,6300,3360,40336,9250,2520,5833,8333,25937,5880,179,1608,376,148,2311,1008,300,33,400,1200,5000,300,300,2000,500,200,20,200,931,136,46656,-6320
2,1,2,48.0,2,1,52.0,20160,14112,1411,1000,144,192,792,6615,4368,48794,9250,2520,5833,8333,25937,7056,179,1608,376,51,2214,1220,300,33,400,1200,5000,0,0,2400,500,240,20,200,1126,539,48385,409
3,1,2,57.6,2,1,67.6,24192,16934,1693,1000,173,230,950,6946,5678,57798,9250,2520,5833,8333,25937,8467,179,1608,376,12,2175,1445,300,33,400,1200,5000,0,0,2880,500,288,20,200,1334,1063,51243,6555
4,1,2,69.1,2,1,87.9,29030,20321,2032,1000,207,276,1140,7293,7382,68683,9250,2520,5833,8333,25937,10161,179,1608,376,0,2163,1717,300,33,400,1200,5000,0,0,3456,500,346,20,200,1586,1745,54763,13920
5,1,2,82.9,2,2,57.1,34836,24386,2439,1000,249,332,1369,7658,9596,81864,9250,5040,5833,8333,28457,12193,196,1764,413,15,2388,2047,300,33,400,1200,5000,0,0,4147,500,415,20,200,1890,1623,60813,21051
6,1,2,99.5,2,2,74.3,41804,29263,2926,2000,299,398,1642,8041,12475,98848,9250,5040,5833,8333,28457,14631,196,1764,413,15,2388,2471,300,33,400,1200,5000,0,0,4977,500,498,20,200,2282,2774,66132,32716
7,1,3,79.6,3,2,96.5,50165,35115,3512,2000,358,478,1971,8443,16218,118259,13250,5040,5833,8333,32457,17558,224,2012,471,36,2743,2956,300,33,400,1200,5000,300,300,5972,500,597,20,200,2731,4271,77538,40721
8,1,3,95.6,3,3,83.7,60197,42138,4214,3000,430,573,2365,8865,21084,142866,13250,7560,5833,8333,34977,21069,241,2169,507,33,2950,3572,300,33,400,1200,5000,0,0,7166,500,717,20,200,3299,5209,86612,56254
9,1,4,86.0,4,3,100.0,72237,50566,5057,3000,516,688,2838,9308,25200,169409,17250,7560,5833,8333,38977,25283,269,2417,565,39,3290,4235,300,33,400,1200,5000,0,0,8600,500,860,20,200,3912,6856,99665,69744
10,1,5,82.6,5,3,100.0,86684,60679,6068,4000,619,826,3405,9773,25200,197255,21250,7560,5833,8333,42977,30340,297,2665,623,54,3638,4931,300,33,400,1200,5000,0,0,10320,500,1032,20,200,4556,6856,112303,84952
11,1,5,99.1,5,3,100.0,104021,72815,7281,5000,743,991,4087,10262,25200,230400,21250,7560,5833,8333,42977,36407,297,2665,623,18,3602,5760,300,33,400,1200,5000,0,0,12383,500,1238,20,200,5323,6856,122200,108199
12,1,6,99.1,6,3,100.0,124825,87378,8738,6000,892,1189,4904,10775,25200,269900,25250,7560,5833,8333,46977,43689,324,2913,681,24,3942,6748,300,33,400,1200,5000,0,0,14860,500,1486,20,200,6237,6856,138447,131453
1,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,11314,25200,272584,25250,7560,5833,8333,46977,44100,324,2913,681,274,4192,6815,300,33,400,1200,5000,300,300,15000,500,1500,20,200,6299,6856,139991,132593
2,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,11880,25200,273150,25250,7560,5833,8333,46977,44100,324,2913,681,153,4071,6829,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6312,6856,139297,133852
3,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,12474,25200,273744,25250,7560,5833,8333,46977,44100,324,2913,681,35,3953,6844,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6325,6856,139208,134535
4,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,13097,25200,274367,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6859,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6340,6856,139203,135165
5,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,13752,25200,275022,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6876,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6355,6856,139234,135788
6,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,14440,25200,275710,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6893,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6370,6856,139267,136443
7,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,15162,25200,276432,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6911,300,33,400,1200,5000,300,300,15000,500,1500,20,200,6387,6856,139902,136530
